"","Params","coefs","2.5 %","97.5 %","pvalue"
"1","ar.1","0.79","0.538","1.16",0.229
"2","ar.sin(2 * pi * t/52)","1.134","1.113","1.155",0
"3","ar.cos(2 * pi * t/52)","0.959","0.942","0.977",0
"4","ar.sin(4 * pi * t/52)","0.943","0.927","0.959",0
"5","ar.cos(4 * pi * t/52)","0.89","0.874","0.905",0
"6","ar.vac","0.993","0.989","0.997",0.001
"7","ar.log(gdppercap)","1.004","0.984","1.024",0.704
"8","ar.log(cpopulation)","1.013","0.989","1.039",0.291
"9","ne.1","0","0","0",0
"10","ne.sin(2 * pi * t/52)","0.913","0.583","1.43",0.691
"11","ne.cos(2 * pi * t/52)","0.024","0.005","0.123",0
"12","ne.sin(4 * pi * t/52)","1.224","0.738","2.029",0.434
"13","ne.cos(4 * pi * t/52)","0.043","0.014","0.126",0
"14","ne.vac","0.985","0.924","1.05",0.648
"15","ne.log(gdppercap)","0.859","0.455","1.621",0.639
"16","ne.log(cpopulation)","2.928","1.801","4.757",0
"17","end.1","0","0","0",0
"18","end.sin(2 * pi * t/52)","6.76","3.799","12.03",0
"19","end.cos(2 * pi * t/52)","0.199","0.112","0.353",0
"20","end.vac","0.793","0.734","0.856",0
"21","end.log(gdppercap)","6.113","3.486","10.72",0
"22","end.log(cpopulation)","1.626","1.022","2.589",0.04
"23","overdisp","0.035","0.032","0.039",NA
"24","","","","",NA
"25","AIC","18187.8","","",NA
"26","","","","",NA
"27","logs","rps","dss","ses",NA
"28","0.2","0.144","-2.661","1.166",NA
