"","Params","coefs","2.5 %","97.5 %","pvalue"
"1","ar.vac","0.994","0.989","0.999",0.016
"2","ar.log(gdppercap)","1.062","1.032","1.092",0
"3","ar.log(cpopulation)","1.02","0.987","1.055",0.241
"4","ar.rain_mean_sd","0.953","0.937","0.969",0
"5","ar.temp_mean_sd","0.988","0.971","1.005",0.171
"6","ar.rh_mean_sd","1.11","1.086","1.134",0
"7","ar.ri(iid)","0.376","0.22","0.644",0
"8","ne.vac","0.767","0.719","0.818",0
"9","ne.log(gdppercap)","0.917","0.432","1.947",0.822
"10","ne.log(cpopulation)","1.516","0.654","3.513",0.332
"11","ne.rain_mean_sd","1.154","1.033","1.291",0.012
"12","ne.temp_mean_sd","0.834","0.725","0.96",0.011
"13","ne.rh_mean_sd","0.888","0.726","1.085",0.246
"14","ne.ri(iid)","0","0","19.86",0.115
"15","end.vac","1.131","1.03","1.242",0.01
"16","end.log(gdppercap)","6.632","1.122","39.191",0.037
"17","end.log(cpopulation)","0.34","0.035","3.285",0.351
"18","end.rain_mean_sd","0.806","0.514","1.263",0.347
"19","end.temp_mean_sd","192.07","65.784","560.788",0
"20","end.rh_mean_sd","1.802","1.155","2.814",0.01
"21","end.sin(2 * pi * t/52)","6.564","3.842","11.214",0
"22","end.cos(2 * pi * t/52)","24.998","8.401","74.39",0
"23","end.ri(iid)","0","0","132291121836.012",0.493
"24","overdisp","0.048","0.043","0.053",NA
"25","","","","",NA
"26","AIC",NA,"","",NA
"27","","","","",NA
"28","logs","rps","dss","ses",NA
"29","0.268","0.306","-3.113","7.006",NA
